m_insp[Msun],mass_aEMS[Msun],M_loss[Msun],m_ins-M_loss
6.899999999999999,100.79649864258913,14.574487784465108,-7.674487784465109
6.999999999999999,100.79649864258913,14.668816114586948,-7.6688161145869485
7.099999999999999,100.79649864258913,14.778865833062381,-7.678865833062383
7.1999999999999975,100.79649864258913,14.889466269663469,-7.6894662696634715
7.299999999999999,100.79649864258913,14.994887434382875,-7.694887434382876
7.399999999999999,100.79649864258913,15.095037540866285,-7.695037540866286
7.499999999999999,100.79649864258913,15.205729763821623,-7.705729763821624
7.599999999999999,100.79649864258913,15.31548043754786,-7.715480437547861
7.6999999999999975,100.79649864258913,15.436690631701765,-7.736690631701768
7.799999999999999,100.79649864258913,15.543640803014014,-7.743640803014015
7.899999999999999,100.79649864258913,15.643460962905422,-7.743460962905424
7.999999999999997,100.79649864258913,15.752363441037454,-7.752363441037457
8.099999999999998,100.79649864258913,15.875398632914996,-7.775398632914998
8.199999999999998,100.79649864258913,15.993701702028034,-7.793701702028036
8.299999999999997,100.79649864258913,16.102540525611985,-7.802540525611988
8.399999999999999,100.79649864258913,16.200263725117498,-7.8002637251174995
8.499999999999998,100.79649864258913,16.313739523087207,-7.813739523087209
8.599999999999998,100.79649864258913,16.439823743053537,-7.83982374305354
8.699999999999998,100.79649864258913,16.52808269702997,-7.828082697029972
8.799999999999997,100.79649864258913,16.667047419936367,-7.86704741993637
8.899999999999997,100.79649864258913,16.768186876852866,-7.868186876852869
8.999999999999998,100.79649864258913,16.886182909922113,-7.886182909922114
9.099999999999998,100.79649864258913,16.987322366838633,-7.887322366838635
9.199999999999998,100.79649864258913,17.095172865115615,-7.895172865115617
9.299999999999997,100.79649864258913,17.221190558716856,-7.921190558716859
9.399999999999997,100.79649864258913,17.324295944390627,-7.9242959443906305
9.499999999999996,100.79649864258913,17.435049136618744,-7.935049136618748
9.599999999999998,100.79649864258913,17.52672948006436,-7.926729480064363
9.699999999999998,100.79649864258913,17.645149923681625,-7.945149923681628
9.799999999999997,100.79649864258913,17.755930338678425,-7.955930338678428
9.899999999999997,100.79649864258913,17.863175626340027,-7.96317562634003
10.0,100.79649864258913,17.96599229786307,-7.965992297863071
15.0,100.79649864258913,22.73493314554641,-7.73493314554641
20.0,100.79649864258913,25.36169760796197,-5.361697607961968
25.0,100.79649864258913,26.042355084234433,-1.0423550842344333
30.0,100.79649864258913,25.283181922066806,4.716818077933194
35.0,100.79649864258913,24.570788457679573,10.429211542320427
40.0,100.79649864258913,23.995975632626852,16.004024367373148
45.0,100.79649864258913,23.492691503278532,21.507308496721468
50.0,100.79649864258913,23.05953202221569,26.94046797778431
55.0,100.79649864258913,22.686997153804214,32.313002846195786
60.0,100.79649864258913,22.32475156348723,37.675248436512774
65.0,100.79649864258913,22.02578752508069,42.97421247491931
70.0,100.79649864258913,21.69540981504981,48.304590184950186
75.0,100.79649864258913,21.404342107328702,53.5956578926713
80.0,100.79649864258913,21.195327987990268,58.80467201200973
85.0,100.79649864258913,20.998621044176204,64.0013789558238
90.0,100.79649864258913,20.767252093009507,69.2327479069905
95.0,100.79649864258913,20.581134447931223,74.41886555206878
100.0,100.79649864258913,20.388416624289125,79.61158337571088
105.0,100.79649864258913,20.206365491639318,84.79363450836068
110.0,100.79649864258913,20.04602718614244,89.95397281385756
115.0,100.79649864258913,19.91886232316215,95.08113767683786
120.0,100.79649864258913,19.744249822381995,100.25575017761801
125.0,100.79649864258913,19.645499397621293,105.3545006023787
130.0,100.79649864258913,19.476800755321747,110.52319924467825
135.0,100.79649864258913,19.3706063623475,115.6293936376525
140.0,100.79649864258913,19.235904224845072,120.76409577515493
145.0,100.79649864258913,19.137939033934217,125.86206096606578
150.0,100.79649864258913,19.008428028764403,130.9915719712356
155.0,100.79649864258913,18.88551905923346,136.11448094076655
160.0,100.79649864258913,18.812684114326217,141.1873158856738
165.0,100.79649864258913,18.68522296073857,146.31477703926143
170.0,100.79649864258913,18.61237421530868,151.38762578469132
175.0,100.79649864258913,18.516730048288736,156.48326995171126
180.0,100.79649864258913,18.434749333700225,161.5652506662998
185.0,100.79649864258913,18.352768619111703,166.6472313808883
190.0,100.79649864258913,18.260540315199616,171.73945968480038
195.0,100.79649864258913,18.192188975213767,176.80781102478625
200.0,100.79649864258913,18.099653970843022,181.900346029157
205.0,100.79649864258913,18.027682300776902,186.97231769922308
210.0,100.79649864258913,17.96599229786307,192.03400770213693
215.0,100.79649864258913,17.88373896064463,197.11626103935538
220.0,100.79649864258913,17.801770510401226,202.19822948959876
225.0,100.79649864258913,17.755930338678425,207.2440696613216
230.0,100.79649864258913,17.687170081094195,212.3128299189058
235.0,100.79649864258913,17.62222983782023,217.3777701621798
240.0,100.79649864258913,17.557289594546234,222.44271040545377
245.0,100.79649864258913,17.49616936558249,227.5038306344175
250.0,100.79649864258913,17.435049136618744,232.56495086338126
255.0,100.79649864258913,17.347208252318122,237.65279174768187
260.0,100.79649864258913,17.324295944390627,242.67570405560937
265.0,100.79649864258913,17.26701517457188,247.7329848254281
270.0,100.79649864258913,17.221190558716856,252.77880944128316
275.0,100.79649864258913,17.15245363493437,257.8475463650656
280.0,100.79649864258913,17.095172865115615,262.9048271348844
285.0,100.79649864258913,17.06653248020625,267.93346751979374
290.0,100.79649864258913,17.004178942991356,272.99582105700864
295.0,100.79649864258913,16.970465790685868,278.02953420931414
300.0,100.79649864258913,16.90303948607486,283.0969605139251
305.0,100.79649864258913,16.86932633376938,288.1306736662306
310.0,100.79649864258913,16.81875660531111,293.18124339468886
315.0,100.79649864258913,16.785043453005628,298.21495654699436
320.0,100.79649864258913,16.73447372454737,303.26552627545266
325.0,100.79649864258913,16.70076057224187,308.29923942775815
330.0,100.79649864258913,16.65019084378362,313.3498091562164
335.0,100.79649864258913,16.616477691478106,318.3835223085219
340.0,100.79649864258913,16.58276453917263,323.4172354608274
345.0,100.79649864258913,16.52808269702997,328.47191730297004
350.0,100.79649864258913,16.5028658530367,333.4971341469633
355.0,100.79649864258913,16.45243216505017,338.54756783494986
360.0,100.79649864258913,16.41460689906026,343.58539310093977
365.0,100.79649864258913,16.376781633070365,348.6232183669296
370.0,100.79649864258913,16.338956367080474,353.66104363291953
375.0,100.79649864258913,16.313739523087207,358.6862604769128
380.0,100.79649864258913,16.275914257097288,363.72408574290273
385.0,100.79649864258913,16.23808899110739,368.76191100889264
390.0,100.79649864258913,16.21917635811243,373.7808236418876
395.0,100.79649864258913,16.162438459127586,378.8375615408724
400.0,100.79649864258913,16.137221615134305,383.8627783848657
405.0,100.79649864258913,16.102540525611985,388.89745947438803
410.0,100.79649864258913,16.083612034553923,393.91638796544606
415.0,100.79649864258913,16.041022929673233,398.9589770703268
420.0,100.79649864258913,16.026826561379664,403.97317343862034
425.0,100.79649864258913,15.993701702028034,409.00629829797197
430.0,100.79649864258913,15.960576842676362,414.03942315732365
435.0,100.79649864258913,15.922719860560196,419.0772801394398
440.0,100.79649864258913,15.90379136950213,424.09620863049787
445.0,100.79649864258913,15.875398632914996,429.124601367085
450.0,100.79649864258913,15.847005896327857,434.15299410367214
455.0,100.79649864258913,15.818613159740764,439.1813868402592
460.0,100.79649864258913,15.790220423153627,444.20977957684636
465.0,100.79649864258913,15.77129193209555,449.22870806790445
470.0,100.79649864258913,15.733434949979369,454.26656505002063
475.0,100.79649864258913,15.705042213392257,459.29495778660777
480.0,100.79649864258913,15.686113722334184,464.3138862776658
485.0,100.79649864258913,15.66005521985528,469.3399447801447
490.0,100.79649864258913,15.643460962905422,474.3565390370946
495.0,100.79649864258913,15.614940917222171,479.38505908277784
500.0,100.79649864258913,15.586420871538905,484.4135791284611
0.7,104.17888519588628,0.0,0.7
0.7999999999999999,104.17888519588628,0.0,0.7999999999999999
0.8999999999999999,104.17888519588628,0.0,0.8999999999999999
1.0,104.17888519588628,0.0,1.0
1.1,104.17888519588628,0.0,1.1
1.1999999999999995,104.17888519588628,13.352775225727637,-12.152775225727638
1.2999999999999998,104.17888519588628,13.692703189185577,-12.392703189185578
1.4,104.17888519588628,13.919844721128968,-12.519844721128967
1.4999999999999998,104.17888519588628,14.099874653376473,-12.599874653376473
1.5999999999999996,104.17888519588628,14.267902590140789,-12.66790259014079
1.6999999999999995,104.17888519588628,14.444081979252854,-12.744081979252854
1.7999999999999996,104.17888519588628,14.58026409938092,-12.78026409938092
1.9,104.17888519588628,14.716446219508974,-12.816446219508974
2.0,104.17888519588628,14.893096459269898,-12.893096459269898
2.1,104.17888519588628,15.022096976227871,-12.922096976227872
2.1999999999999997,104.17888519588628,15.18334762242534,-12.98334762242534
2.3,104.17888519588628,15.330151988225337,-13.030151988225338
2.3999999999999995,104.17888519588628,15.42652137346168,-13.02652137346168
2.5,104.17888519588628,15.4907676302859,-12.9907676302859
2.6,104.17888519588628,15.588921633767312,-12.988921633767312
2.6999999999999997,104.17888519588628,15.672798691287838,-12.972798691287839
2.8,104.17888519588628,15.758460367053454,-12.958460367053455
2.8999999999999995,104.17888519588628,15.844122042819093,-12.944122042819092
2.9999999999999987,104.17888519588628,15.930797712713595,-12.930797712713597
3.1,104.17888519588628,15.988919490686254,-12.888919490686254
3.1999999999999997,104.17888519588628,16.027667342667993,-12.827667342667993
3.3,104.17888519588628,16.04704126865888,-12.74704126865888
3.3999999999999995,104.17888519588628,16.027667342667993,-12.627667342667994
3.4999999999999987,104.17888519588628,16.00829341667712,-12.508293416677121
3.6,104.17888519588628,15.930797712713595,-12.330797712713595
3.6999999999999993,104.17888519588628,15.829845096858165,-12.129845096858165
3.799999999999999,104.17888519588628,15.629967853405033,-11.829967853405034
3.9,104.17888519588628,15.301598096303449,-11.401598096303449
3.9999999999999987,104.17888519588628,14.716446219508974,-10.716446219508976
4.1,104.17888519588628,13.5674665710695,-9.467466571069501
4.199999999999998,104.17888519588628,13.549575625624339,-9.34957562562434
4.299999999999999,104.17888519588628,13.5674665710695,-9.267466571069502
4.4,104.17888519588628,13.60324846195979,-9.20324846195979
4.499999999999999,104.17888519588628,13.621139407404966,-9.121139407404968
4.599999999999999,104.17888519588628,13.674812243740428,-9.074812243740428
4.699999999999998,104.17888519588628,13.710594134630737,-9.01059413463074
4.799999999999999,104.17888519588628,13.74637602552104,-8.94637602552104
4.9,104.17888519588628,13.800048861856508,-8.900048861856508
4.999999999999999,104.17888519588628,13.859834743713137,-8.859834743713137
5.099999999999999,104.17888519588628,13.931846716612128,-8.83184671661213
5.199999999999998,104.17888519588628,13.991856694027955,-8.791856694027956
5.299999999999999,104.17888519588628,14.051866671443804,-8.751866671443805
5.4,104.17888519588628,14.14788263530913,-8.74788263530913
5.499999999999999,104.17888519588628,14.219894608208122,-8.719894608208122
5.599999999999999,104.17888519588628,14.307928007004564,-8.707928007004565
5.699999999999998,104.17888519588628,14.379996275663183,-8.679996275663186
5.799999999999999,104.17888519588628,14.484135543996398,-8.6841355439964
5.9,104.17888519588628,14.556231960534799,-8.656231960534798
5.999999999999999,104.17888519588628,14.65236051591931,-8.652360515919312
6.099999999999999,104.17888519588628,14.732467645406414,-8.632467645406415
6.199999999999998,104.17888519588628,14.850096286950587,-8.650096286950589
6.299999999999999,104.17888519588628,14.936096631589221,-8.636096631589222
6.399999999999999,104.17888519588628,15.054347105467343,-8.654347105467345
6.499999999999999,104.17888519588628,15.14034745010599,-8.640347450105992
6.599999999999999,104.17888519588628,15.247847880904315,-8.647847880904315
6.6999999999999975,104.17888519588628,15.358705880147212,-8.658705880147215
6.799999999999999,104.17888519588628,15.469352211344498,-8.6693522113445
6.899999999999999,104.17888519588628,15.576429306051502,-8.676429306051503
6.999999999999999,104.17888519588628,15.687075637248793,-8.687075637248793
7.099999999999999,104.17888519588628,15.801291204936273,-8.701291204936275
7.1999999999999975,104.17888519588628,15.911423786722732,-8.711423786722735
7.299999999999999,104.17888519588628,16.027667342667993,-8.727667342667994
7.399999999999999,104.17888519588628,16.13422393561785,-8.734223935617852
7.499999999999999,104.17888519588628,16.240780528567708,-8.740780528567708
7.599999999999999,104.17888519588628,16.357178472717678,-8.75717847271768
7.6999999999999975,104.17888519588628,16.480857795956297,-8.7808577959563
7.799999999999999,104.17888519588628,16.598027681129718,-8.79802768112972
7.899999999999999,104.17888519588628,16.71519756630316,-8.815197566303162
7.999999999999997,104.17888519588628,16.832545788015576,-8.83254578801558
8.099999999999998,104.17888519588628,16.94614883948104,-8.846148839481042
8.199999999999998,104.17888519588628,17.05101319467991,-8.851013194679913
8.299999999999997,104.17888519588628,17.18209363867848,-8.882093638678484
8.399999999999999,104.17888519588628,17.29546727193866,-8.89546727193866
8.499999999999998,104.17888519588628,17.39998749982959,-8.89998749982959
8.599999999999998,104.17888519588628,17.527734445029676,-8.927734445029678
8.699999999999998,104.17888519588628,17.643868031575163,-8.943868031575166
8.799999999999997,104.17888519588628,17.75848065110314,-8.958480651103145
8.899999999999997,104.17888519588628,17.878267395994282,-8.978267395994285
8.999999999999998,104.17888519588628,17.972595726116108,-8.97259572611611
9.099999999999998,104.17888519588628,18.098366832945217,-8.99836683294522
9.199999999999998,104.17888519588628,18.208600124129187,-9.00860012412919
9.299999999999997,104.17888519588628,18.33510552179248,-9.035105521792484
9.399999999999997,104.17888519588628,18.44579774474782,-9.045797744747825
9.499999999999996,104.17888519588628,18.540676792995253,-9.040676792995257
9.599999999999998,104.17888519588628,18.655086922320308,-9.05508692232031
9.699999999999998,104.17888519588628,18.783427127895006,-9.083427127895009
9.799999999999997,104.17888519588628,18.883247287786432,-9.083247287786435
9.899999999999997,104.17888519588628,18.997327470519487,-9.09732747051949
10.0,104.17888519588628,19.106357257747653,-9.106357257747653
15.0,104.17888519588628,23.964473532996305,-8.964473532996305
20.0,104.17888519588628,26.65863447783201,-6.65863447783201
25.0,104.17888519588628,27.315136555887822,-2.315136555887822
30.0,104.17888519588628,26.546863855915408,3.453136144084592
35.0,104.17888519588628,25.84685190757028,9.15314809242972
40.0,104.17888519588628,25.257325319741696,14.742674680258304
45.0,104.17888519588628,24.764355672253586,20.235644327746414
50.0,104.17888519588628,24.313835966489652,25.686164033510348
55.0,104.17888519588628,23.927867335494305,31.072132664505695
60.0,104.17888519588628,23.544520788247805,36.45547921175219
65.0,104.17888519588628,23.229501401471694,41.770498598528306
70.0,104.17888519588628,22.85918730861905,47.14081269138095
75.0,104.17888519588628,22.618290778142377,52.38170922185762
80.0,104.17888519588628,22.41812768640193,57.58187231359807
85.0,104.17888519588628,22.231488140077154,62.768511859922846
90.0,104.17888519588628,22.024360315366536,67.97563968463346
95.0,104.17888519588628,21.7898089821347,73.2101910178653
100.0,104.17888519588628,21.598520648094805,78.4014793519052
105.0,104.17888519588628,21.410068854074193,83.5899311459258
110.0,104.17888519588628,21.266125513941915,88.73387448605808
115.0,104.17888519588628,21.13831689197569,93.86168310802431
120.0,104.17888519588628,20.966416248015175,99.03358375198482
125.0,104.17888519588628,20.817435689916053,104.18256431008395
130.0,104.17888519588628,20.706682497687954,109.29331750231205
135.0,104.17888519588628,20.580664804086695,114.4193351959133
140.0,104.17888519588628,20.431734802557955,119.56826519744205
